ERR475467	ERR475468	ERR475469	ERR475470	ERR475471	ERR475472	ERR475473	ERR475474	ERR475475	ERR475476	ERR475477	ERR475478	ERR475479	ERR475480	ERR475481	ERR475482	ERR475483	ERR475484	ERR475485	ERR475486	ERR475487	ERR475488	ERR475489	ERR475490	ERR475491	ERR475492	ERR475493	ERR475494	ERR475495	ERR475496	ERR475497	ERR475498	ERR475499	ERR475500	ERR475501	ERR475502	ERR475503	ERR475504	ERR475505	ERR475506	ERR475507	ERR475508	ERR475509	ERR475510	ERR475511	ERR475512	ERR475513	ERR475514	ERR475515	ERR475516	ERR475517	ERR475518	ERR475519	ERR475520	ERR475521	ERR475522	ERR475523	ERR475524	ERR475525	ERR475526	ERR475527	ERR475528	ERR475529	ERR475530	ERR475531	ERR475532	ERR475533	ERR475534	ERR475535	ERR475536	ERR475537	ERR475538	ERR475539	ERR475540	ERR475541	ERR475542	ERR475543	ERR475544	ERR475545	ERR475546	ERR475547	ERR475548	ERR475549	ERR475550	ERR475551	ERR475552	ERR475553	ERR475554	ERR475555	ERR475556	ERR475557	ERR475558	ERR475559	ERR475560	ERR475561	ERR475562	ERR475563	ERR475564	ERR475565	ERR475566	ERR475567	ERR475568	ERR475569	ERR475570	ERR475571	ERR475572	ERR475573	ERR475574	ERR475575	ERR475576	ERR475577	ERR475578	ERR475579	ERR475580	ERR475581	ERR475582	ERR475583	ERR475584	ERR475585	ERR475586	ERR475587	ERR475588	ERR475589	ERR475590	ERR475591	ERR475592	ERR475593	ERR475594	ERR475595
ASV00021	682	0	3367	0	1218	67	805	0	4133	0	0	1463	165	51	798	0	0	0	79	0	30	0	0	387	4059	0	0	477	177	0	12146	0	0	918	54405	644	0	2018	2631	355	34001	0	934	46391	962	0	3001	0	1506	2264	0	0	881	3304	984	0	27055	337	0	443	768	1197	0	0	0	893	0	2065	703	901	973	2817	0	0	1621	0	0	7646	0	457	0	218	70	119	0	2819	0	380	0	4438	0	0	0	95	467	0	865	129	0	426	0	0	231	0	744	584	2298	791	0	14363	482	15159	0	168	0	0	1190	0	2583	0	0	2936	0	1033	0	239	85	3163	103
ASV00022	165	1153	46	298	290	568	539	11	918	204	156	3019	2297	0	464	0	0	622	622	38	311	464	1669	490	34	307	975	475	816	3207	6026	1442	2525	63	14	5037	5663	722	3337	10325	1920	3641	0	0	0	8213	3070	1720	3836	616	10191	767	2223	414	2890	897	17	583	3801	2396	1199	250	38	124	5534	2316	17	398	4465	1672	4088	3099	205	298	5131	19192	688	406	743	2617	2317	1546	301	557	785	2461	2080	2819	972	930	1891	579	2466	0	11682	0	9685	0	904	5774	0	388	1689	680	0	1999	5834	0	6406	0	4359	227	0	986	1907	323	3926	1472	549	0	807	0	116	11	1491	6253	4984	0	1250
ASV00023	0	26	12	0	0	0	0	0	8	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	19	0	0	0	0	0	93	40	246124	78	0	43	57	0	0	40	121	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0
ASV00024	25	650	219	169	156	257	126	0	398	188	558	412	1294	527	422	203	771	495	360	184	1706	510	2005	321	321	150	1828	100	1024	1488	5867	3953	1679	73	0	4978	8493	8551	1362	6511	235	675	825	2562	294	7215	1963	2204	4741	1507	1871	4061	5449	968	673	2127	1497	0	1116	2775	1120	133	306	287	6536	287	5341	1609	2574	687	1933	1296	0	0	4753	5400	1169	236	44	1373	351	1389	1236	1819	2417	724	3312	280	2759	1348	1248	360	11872	3501	7066	0	4400	65	2534	2468	325	437	290	370	0	10157	1678	3346	3841	0	1068	569	3890	2189	2670	529	1427	3634	1213	0	5263	17	184	7386	0	4619	3294	0	2357
ASV00025	116	1721	606	248	0	296	208	63	1757	2556	1286	2147	0	0	0	0	21	158	94	0	0	0	0	1004	0	126	2272	236	304	45	0	4493	166	0	25478	5672	15237	1060	7376	0	24627	7650	3459	10700	0	0	26371	0	0	0	130	668	0	0	4452	37	98	0	597	1360	202	595	25	0	0	2087	1707	0	1186	3644	4138	111	392	4047	794	820	0	927	6421	1730	775	0	132	0	380	0	0	108	0	1367	116	182	0	1180	208	842	0	0	0	412	0	0	0	295	707	855	2125	191	486	25996	114	822	0	71	359	5390	291	108	226	0	0	0	884	0	1748	0	53	819	279
ASV00026	0	0	0	0	0	0	0	0	0	8922	0	0	1468	0	9	0	125	14856	0	0	51	0	0	0	9	0	0	0	0	0	0	0	100	0	0	0	93	0	0	84	92005	32	38	24	0	0	0	483	27	0	0	0	8824	0	3583	3327	38	0	0	0	0	4367	0	1380	0	0	3527	383	0	0	0	0	0	0	0	0	46260	0	4128	455	0	0	0	144	0	0	0	0	0	0	0	0	0	0	6279	0	0	0	0	0	0	0	0	0	0	0	3411	0	0	0	0	0	0	0	0	0	0	0	2869	26	0	0	0	0	0	0	18127	0	0
ASV00027	8	1994	237	71	49	58	136	0	728	2057	241	2407	265	0	272	49	292	129	90	232	344	360	1366	455	70	91	1753	587	485	427	8321	5453	50	0	23	1768	17168	8949	1484	1404	687	2406	0	36646	593	4543	2243	367	702	2709	426	1850	1037	624	1187	240	759	1688	622	271	1143	161	163	174	1977	807	92	374	341	2502	2342	1283	91	0	272	1589	260	198	465	295	338	1972	515	985	676	5041	2919	86	5802	4128	1504	0	4861	414	3017	0	1710	81	2299	5561	0	162	747	5271	10407	65	761	293	762	0	818	372	105	2170	1429	861	950	538	665	0	1757	0	23	480	0	208	412	0	843
ASV00028	0	330	0	0	0	8	0	0	0	10	0	0	82	479	0	0	671	0	0	0	0	0	0	2478	0	998	777	0	0	591	12	25	0	3197	27720	85	0	0	10	18	9	17735	3895	8890	0	67	393	17	0	3778	0	0	0	9	742	0	11	0	0	0	0	161	0	0	0	120	0	13547	9	9351	0	0	6235	39415	0	0	0	0	0	0	9	0	1140	0	5360	86	21	0	1182	0	352	1976	0	605	0	0	728	0	5133	4305	4221	0	0	0	0	0	0	0	0	5569	0	0	0	4080	0	0	0	494	0	14538	0	0	0	2862	0	8880	0	0	0
ASV00029	226	1399	360	0	1254	97	534	182	4184	579	567	2561	184	0	747	0	0	532	98	12	63	84	0	0	2492	590	0	219	0	0	3661	0	961	215	0	0	2137	9609	2383	0	598	1680	3311	0	8827	415	12607	178	1164	341	0	702	0	17747	7466	0	403	4247	0	172	344	279	0	6069	0	0	508	545	439	8135	1106	2570	312	1374	811	1305	411	680	0	873	453	4242	0	52	523	1173	0	0	97	0	261	138	0	602	147	2763	790	0	13984	3834	64	83	571	781	0	671	1162	666	164	0	0	6820	237	77	548	2087	6580	0	78	1900	175	20	2564	701	5789	6567	0	255	131
ASV00030	54	1249	176	305	263	563	195	0	973	211	500	1137	624	0	324	8	598	225	42	18	301	236	0	379	103	120	1157	404	431	1209	3218	5679	124	0	0	3089	4711	2863	45	10443	171	1738	0	12	2575	2505	2364	1358	1376	642	11743	2892	730	853	819	732	79	0	845	1550	901	281	398	0	2954	62	4635	2870	1134	1258	2170	752	2034	0	1688	2042	645	976	556	2507	437	1112	2506	1669	2310	1316	2038	1197	0	2085	0	332	3481	1120	3608	6926	0	3429	0	1601	0	1199	1835	9455	7446	2934	1640	1346	3590	0	848	431	1408	347	1343	1191	847	1900	1244	4922	0	0	91	1214	0	3130	1508	0	551
